"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1948,2,8.7,0
"Amacayacu","dtr",1948,3,8.6,0
"Amacayacu","dtr",1948,4,8,0
"Amacayacu","dtr",1948,5,7.9,0
"Amacayacu","dtr",1948,6,8.4,0
"Amacayacu","dtr",1948,7,9.4,0
"Amacayacu","dtr",1948,8,9.7,0
"Amacayacu","dtr",1948,9,10,0
"Amacayacu","dtr",1948,10,9.4,0
"Amacayacu","dtr",1948,11,9.1,0
"Amacayacu","dtr",1948,12,8.5,0
"Amacayacu","dtr",1949,1,8.6,0
"Amacayacu","dtr",1949,2,8.5,1
"Amacayacu","dtr",1949,3,8.6,0
"Amacayacu","dtr",1949,4,8,0
"Amacayacu","dtr",1949,5,7.9,0
"Amacayacu","dtr",1949,6,8.4,0
"Amacayacu","dtr",1949,7,9.4,0
"Amacayacu","dtr",1949,8,9.7,0
"Amacayacu","dtr",1949,9,10,0
"Amacayacu","dtr",1949,10,9.4,0
"Amacayacu","dtr",1949,11,9.1,0
"Amacayacu","dtr",1949,12,8.5,0
"Amacayacu","dtr",1950,1,8.6,0
"Amacayacu","dtr",1950,2,9.3,1
"Amacayacu","dtr",1950,3,8.6,0
"Amacayacu","dtr",1950,4,8,0
"Amacayacu","dtr",1950,5,7.9,0
"Amacayacu","dtr",1950,6,8.4,0
"Amacayacu","dtr",1950,7,9.4,0
"Amacayacu","dtr",1950,8,9.7,0
"Amacayacu","dtr",1950,9,10,0
"Amacayacu","dtr",1950,10,9.4,0
"Amacayacu","dtr",1950,11,9.1,0
"Amacayacu","dtr",1950,12,8.5,0
"Amacayacu","dtr",1951,1,8.6,0
"Amacayacu","dtr",1951,2,9.1,1
"Amacayacu","dtr",1951,3,8.6,0
"Amacayacu","dtr",1951,4,8,0
"Amacayacu","dtr",1951,5,7.9,0
"Amacayacu","dtr",1951,6,8.4,0
"Amacayacu","dtr",1951,7,9.4,0
"Amacayacu","dtr",1951,8,9.7,0
