"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2019-2-28,NA,5.82371,-57.35844
2019-3-1,NA,2.846429,-60.63023
2019-3-2,NA,4.752227,-61.49099
2019-3-3,NA,2.396938,-61.5878
2019-3-4,NA,3.97323,-62.85901
2019-3-5,NA,-0.3317962,-63.18078
2019-3-6,NA,-1.223031,-59.91055
2019-3-7,NA,4.50412,-63.34262
2019-3-8,NA,0.8348978,-62.87238
2019-3-9,NA,2.929456,-51.62066
2019-3-10,NA,9.042607,-64.24534
2019-3-11,NA,10.2768,-71.42319
2019-3-12,NA,9.992906,-71.65225
2019-3-13,NA,3.394371,-67.26323
2019-3-14,NA,22.29245,-71.36492
2019-3-15,NA,21.29714,-70.29544
2019-3-16,NA,12.78583,-71.5023
2019-3-17,NA,12.31867,-70.09452
2019-3-18,NA,9.132105,-69.8354
2019-3-19,NA,10.63686,-62.36289
2019-3-20,NA,8.733852,-61.60584
2019-3-21,NA,-26.27056,-60.82386
2019-3-22,NA,11.97622,-65.04611
2019-3-23,NA,12.5017,-64.35088
2019-3-24,NA,13.81472,-64.53965
2019-3-25,NA,14.09905,-67.38183
2019-3-26,NA,9.48572,-59.23172
2019-3-27,NA,11.82652,-61.4739
2019-3-28,NA,12.72809,-62.11951
2019-3-29,NA,21.38405,-64.59669
2019-3-30,NA,21.22046,-67.35689
2019-3-31,NA,17.00759,-66.15432
2019-4-1,NA,10.16665,-66.82634
2019-4-3,NA,20.37866,-62.48603
2019-4-4,NA,17.34049,-62.93262
2019-4-6,NA,17.55312,-60.74618
2019-4-7,NA,21.96546,-58.39999
2019-4-9,NA,25.7652,-61.91642
2019-4-10,NA,22.99542,-70.22512
2019-4-11,NA,16.59566,-62.97941
2019-4-12,NA,14.56017,-59.74803
2019-4-13,NA,22.40694,-66.48617
2019-4-14,NA,20.20935,-62.6957
2019-4-15,NA,17.43262,-66.16074
2019-4-16,NA,15.34129,-71.46941
2019-4-17,NA,23.31638,-69.97981
2019-4-18,NA,23.58276,-65.73276
2019-4-20,NA,20.64049,-60.87118
2019-4-21,NA,18.90343,-71.36483
2019-4-22,NA,22.48934,-71.1054
2019-4-23,NA,21.74092,-69.21391
2019-4-24,NA,22.44905,-69.88877
2019-4-25,NA,21.30444,-69.10917
2019-4-26,NA,19.96745,-58.91323
2019-4-27,NA,18.63614,-70.90948
2019-4-28,NA,24.10307,-66.93712
2019-4-29,NA,15.82838,-65.43311
2019-4-30,NA,18.48274,-65.93896
2019-5-1,NA,17.11892,-53.59599
2019-5-2,NA,17.5504,-60.53588
2019-5-3,NA,21.09968,-70.45079
2019-5-4,NA,19.54728,-67.71742
2019-5-5,NA,-46.16345,-56.37445
2019-5-6,NA,16.29754,-70.95109
2019-5-7,NA,14.49524,-70.19571
2019-5-8,NA,-63.45725,-67.94473
2019-5-9,NA,-63.61716,-70.61773
2019-5-10,NA,25.86082,-70.08709
2019-5-11,NA,13.28824,-67.31594
2019-5-13,NA,16.52436,-69.60513
2019-5-14,NA,8.171305,-70.04297
2019-5-15,NA,23.49258,-71.20207
2019-5-16,NA,23.91463,-70.45322
2019-5-17,NA,18.69746,-70.1283
2019-5-18,NA,25.34536,-69.99328
2019-5-19,NA,25.9495,-69.05157
2019-5-20,NA,-13.15629,-70.15053
2019-5-21,NA,15.99643,-71.01449
